ROI,Feature,EffectSize,ROI_Name,Network
82,HFD,0.29206788036491166,Schaefer2018_17Networks_LH_DorsAttnB_FEF_2,DorsAttnB
82,Spectral_Slope,-0.2714827167165814,Schaefer2018_17Networks_LH_DorsAttnB_FEF_2,DorsAttnB
83,DFA,-0.4786873803361551,Schaefer2018_17Networks_LH_DorsAttnB_FEF_3,DorsAttnB
83,HFD,0.26478899980698734,Schaefer2018_17Networks_LH_DorsAttnB_FEF_3,DorsAttnB
83,Spectral_Slope,-0.24448693874958674,Schaefer2018_17Networks_LH_DorsAttnB_FEF_3,DorsAttnB
84,DFA,-0.11335747495646063,Schaefer2018_17Networks_LH_DorsAttnB_PrCv_1,DorsAttnB
84,HFD,0.13341991579717977,Schaefer2018_17Networks_LH_DorsAttnB_PrCv_1,DorsAttnB
84,Spectral_Slope,0.2213972226896751,Schaefer2018_17Networks_LH_DorsAttnB_PrCv_1,DorsAttnB
85,DFA,-0.4004290291386755,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_1,SalVentAttnA
85,HFD,0.4910405773399663,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_1,SalVentAttnA
85,Spectral_Slope,-0.22196166279129428,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_1,SalVentAttnA
86,DFA,-0.3095841091724655,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_2,SalVentAttnA
86,HFD,0.4577520272844227,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_2,SalVentAttnA
86,Spectral_Slope,-0.024197088984312744,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_2,SalVentAttnA
87,DFA,-0.08058359186468587,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_3,SalVentAttnA
87,HFD,0.19879146873048023,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_3,SalVentAttnA
87,Spectral_Slope,-0.07615448347176172,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_3,SalVentAttnA
88,DFA,-0.3119399997849029,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_1,SalVentAttnA
88,HFD,0.107009353152172,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_1,SalVentAttnA
